,text,author,replying_to
7061,@_Slyther_Claw_ Ooh dear :P I've been on holiday so I haven't been able to use the computer much so I didn't know lol,_kassilon,Leave_Matoaka
7062,@_Slyther_Claw_ But welcome back to twitter :) Isn't it really late in america though now haha,_kassilon,Leave_Matoaka
7063,"@_Slyther_Claw_ haha, I remember this lol",_kassilon,Leave_Matoaka
7064,"@_Slyther_Claw_ really?, it did?",a_ajames,Leave_Matoaka
7065,@_Slyther_Claw_ @korraspirit *flashback to that time you were in an abusive relationship and threatened to kill yourself*,colossusMECHA,Leave_Matoaka
7066,@_Slyther_Claw_ They are so cute!,HeroesOfHeroine,Leave_Matoaka
7067,@_Slyther_Claw_ I can see why y'all named dah kitten Yetti.,HeroesOfHeroine,Leave_Matoaka
7068,@_Slyther_Claw_ That is too adorable.,HeroesOfHeroine,Leave_Matoaka
7069,@_Slyther_Claw_ So tiny and cute.,HeroesOfHeroine,Leave_Matoaka
7070,@_Slyther_Claw_ So cute. &gt;3&lt;,HeroesOfHeroine,Leave_Matoaka
7071,@_Slyther_Claw_ Scary. 0.0,HeroesOfHeroine,Leave_Matoaka
7072,@_Slyther_Claw_ Kitty!,HeroesOfHeroine,Leave_Matoaka
7073,@_Slyther_Claw_ So cute though! ;-;,HeroesOfHeroine,Leave_Matoaka
7074,@_Slyther_Claw_ Such a beautiful dog.,HeroesOfHeroine,Leave_Matoaka
7075,"@_Slyther_Claw_ Uh, thanks? And its up to chu. .-.",HeroesOfHeroine,Leave_Matoaka
7076,@_Slyther_Claw_ Bull.,HeroesOfHeroine,Leave_Matoaka
7077,"@_Slyther_Claw_ You have, this is so exciting! Just don't fall to hard we have shopping to do. 🏬 You must be rested and injure free. ^RH",AmazonHelp,Leave_Matoaka
7078,@_Slyther_Claw_ Indeed.,HeroesOfHeroine,Leave_Matoaka
7079,@_Slyther_Claw_ I don't care. Shell hurts me.,HeroesOfHeroine,Leave_Matoaka
7080,@_Slyther_Claw_ **Buts. -w-,HeroesOfHeroine,Leave_Matoaka
7081,"@_Slyther_Claw_ Oh.
I'll smear chocolate on your lips while you sleep.",HeroesOfHeroine,Leave_Matoaka
7082,"@_Slyther_Claw_ I AM NOT A CHILD, SO DON'T CALL ME A CHILD.",HeroesOfHeroine,Leave_Matoaka
7083,"@_Slyther_Claw_ 
I will drag you down with me, dipstick.",HeroesOfHeroine,Leave_Matoaka
7084,"@_Slyther_Claw_ I AM NOT A CHILD, MOMMY.",HeroesOfHeroine,Leave_Matoaka
7085,"@_Slyther_Claw_ I like marshmallows with chocolate. OuO
DON'T CRUSH ME DREAMS.
And Shell calls me cute names. :3",HeroesOfHeroine,Leave_Matoaka
7086,@_Slyther_Claw_ @colossusMECHA ~~So I'm guessing that inspired people haha. Your mother did an amazing job raising you!,korraspirit,Leave_Matoaka
7087,@_Slyther_Claw_ @colossusMECHA I've been on your tumblr a lot and you seem to be very good at handing bullying/anxiety/social issues~~,korraspirit,Leave_Matoaka
7088,@_Slyther_Claw_ @colossusMECHA Omg! 😁 I literally LOVE how you've inspired so many people with your posts haha. You're like a goddess 😁😁,korraspirit,Leave_Matoaka
7089,@_Slyther_Claw_ you helped me realise that no matter how lumpy and ugly I look I'll always be loved by dykes ❤️😘,colossusMECHA,Leave_Matoaka
7090,@_Slyther_Claw_ you've inspired me to finally come out and be myself,colossusMECHA,Leave_Matoaka
7091,@_Slyther_Claw_ Congrats!,korraspirit,Leave_Matoaka
7092,@_Slyther_Claw_ I love you.,HeroesOfHeroine,Leave_Matoaka
7093,"@_Slyther_Claw_ No, someone told me, and thats basically the context",__WithNoName,Leave_Matoaka
7094,"@_Slyther_Claw_ 69, I remember that, its the number if the start of the Ape Titan arc",__WithNoName,Leave_Matoaka
7095,"@_Slyther_Claw_ no :/ lately I dont pay a lot of attention to the name,but I remember that theres a cliffhanger and shit's going to get real",__WithNoName,Leave_Matoaka
7096,"@_Slyther_Claw_ https://t.co/eKREe2qjL2 Thats all we've gotten 😁. News has been nonexistent, unfortunately.
'THREADWORLDS' new graphic novel by Avatar creator Bryan Konietzko coming in 2017!

Read more: http://t.co/C6RjzfOKF8 http://t.co/ZaWCV73kTi",korraspirit,Leave_Matoaka
7097,"@_Slyther_Claw_ Ah, that, dont worry, now you know! ^-^",__WithNoName,Leave_Matoaka
7098,@_Slyther_Claw_ Okay.,HeroesOfHeroine,Leave_Matoaka
7099,@_Slyther_Claw_ Who are you?,HeroesOfHeroine,Leave_Matoaka
7100,"@_Slyther_Claw_ Hey, is there any chance you could follow back and DM me please? I wanted to speak to you about something",korraspirit,Leave_Matoaka
7101,@_Slyther_Claw_ hey I've been pretty good ahaha sorry for the late reply I don't go on this account much,christydiana_,Leave_Matoaka
7102,@_Slyther_Claw_ what do you mean?,__WithNoName,Leave_Matoaka
7103,@_Slyther_Claw_ I got no clue what you're saying but okay,Batroman,Leave_Matoaka
7104,@_Slyther_Claw_ yup if it ain't broke don't fix it,Batroman,Leave_Matoaka
7105,@_Slyther_Claw_ same old same old the world keeps moving foward,Batroman,Leave_Matoaka
7106,@_Slyther_Claw_ I had one of those once. It's was called mom.,flameohotwoman,Leave_Matoaka
7107,"@_Slyther_Claw_ //Okay, okay. I'll try to.",VarrickLoK,Leave_Matoaka
7108,@_Slyther_Claw_ //I can't make an outfit. I don't know how. And that takes money and time. Which I have limited of.,VarrickLoK,Leave_Matoaka
7109,"@_Slyther_Claw_ //I know, I know. xD",VarrickLoK,Leave_Matoaka
7110,@_Slyther_Claw_ //But Idk who to cosplay. I'm big and Idk how to get the outfit.,VarrickLoK,Leave_Matoaka
7111,@_Slyther_Claw_ //I've never worn make up before...,VarrickLoK,Leave_Matoaka
7112,"@_Slyther_Claw_ geography, it was because ""anime and manga fantasies lead to lack of pursuing relationships and so declining birth rates""",_kassilon,Leave_Matoaka
7113,@_Slyther_Claw_ haha yeah,christydiana_,Leave_Matoaka
7114,@_Slyther_Claw_ no but it was about japan and the documentary lady went to a manga store and they played clips of loads of animes lol,_kassilon,Leave_Matoaka
7115,@_Slyther_Claw_ haha I'm never really active on here. Yesterday was the first time I was active on here in like two weeks,christydiana_,Leave_Matoaka
7116,@_Slyther_Claw_ lol I do I just forgot that you followed me here too 😂,christydiana_,Leave_Matoaka
7117,@_Slyther_Claw_ @jenmorrisonlive Lily,OUAT_Fanatics,Leave_Matoaka
7118,@_Slyther_Claw_ //It's a confusing story. And I don't feel like typing it.,KingOfChillJF,Leave_Matoaka
7119,"@_Slyther_Claw_ //That depends because....Never mind. It's a complicated, long story.",KingOfChillJF,Leave_Matoaka
7120,@_Slyther_Claw_ //Like....An other me...? Cause I have 5 of those. e3e,KingOfChillJF,Leave_Matoaka
7121,@_Slyther_Claw_ //Of course.,KingOfChillJF,Leave_Matoaka
7122,@_Slyther_Claw_ //Yes and sometimes I just need to let people know that.,KingOfChillJF,Leave_Matoaka
7123,@_Slyther_Claw_ //I've been like this my whole life! I'm fine. Okay?!,KingOfChillJF,Leave_Matoaka
7124,@_Slyther_Claw_ //._. I'm not awesome.,KingOfChillJF,Leave_Matoaka
7125,"@_Slyther_Claw_ //It's just I get tired of it sometimes. Like, how a hero gets scared. They shouldn't be, but they are.",KingOfChillJF,Leave_Matoaka
7126,"@_Slyther_Claw_ //Cause you're not me! I'm fine with this, really!",KingOfChillJF,Leave_Matoaka
7127,@_Slyther_Claw_ //Because I'm meant to be like this.,KingOfChillJF,Leave_Matoaka
7128,@_Slyther_Claw_ //You barely even know me!,KingOfChillJF,Leave_Matoaka
7129,@_Slyther_Claw_ yesss. Perfect.,flameohotwoman,Leave_Matoaka
7130,@_Slyther_Claw_ //Yeah cause I'd totally tell you my address right now.,KingOfChillJF,Leave_Matoaka
7131,@_Slyther_Claw_ more like diversity,flameohotwoman,Leave_Matoaka
7132,@_Slyther_Claw_ //IT IS.,KingOfChillJF,Leave_Matoaka
7133,@_Slyther_Claw_ //IT'S TRUE.,KingOfChillJF,Leave_Matoaka
7134,@_Slyther_Claw_ I'll stick to blocking/unfollowing for now,DickyyLoL,Leave_Matoaka
7135,@_Slyther_Claw_ True true imma start that soon,DickyyLoL,Leave_Matoaka
7136,@_Slyther_Claw_ Can't stand the amount of complaining in the fandom,DickyyLoL,Leave_Matoaka
7137,@_Slyther_Claw_ lmao,DickyyLoL,Leave_Matoaka
7138,"@_Slyther_Claw_ your question confuse me, explain please",__WithNoName,Leave_Matoaka
7139,"@_Slyther_Claw_ its an anime, it was like the most overrated of 2014 and the second season is now on the 7th episode",__WithNoName,Leave_Matoaka
7140,@_Slyther_Claw_ it's all fantastic.  My biggest trap with classical is getting the same works done by different conductors/orchestras.,SifuMustache,Leave_Matoaka
7141,@_Slyther_Claw_ it changes often. I'm on a Rock/Alt Rock kick right now. But I probably listen to more classical than anything.,SifuMustache,Leave_Matoaka
7142,@_Slyther_Claw_ Thanks! I like way too much music.....I have to monitor myself cause I could spend a fortune on it.,SifuMustache,Leave_Matoaka
7143,@_Slyther_Claw_ Lets talk about it tomorrow just come to main office.,raewoolpy,Leave_Matoaka
7144,@_Slyther_Claw_ I will ;) xD,TorturedArtist_,Leave_Matoaka
7145,@_Slyther_Claw_ BWAHAHAHA I was gonna say I already am xD,TorturedArtist_,Leave_Matoaka
7146,@_Slyther_Claw_ lmao xD,TorturedArtist_,Leave_Matoaka
7147,@_Slyther_Claw_ that I know lol,TorturedArtist_,Leave_Matoaka
7148,@_Slyther_Claw_ ingles no,TorturedArtist_,Leave_Matoaka
7149,"@_Slyther_Claw_ Yeah, I'll be fine with doing it here though. But whatever you prefer. And, we had a 2HD so my mom couldn't take me.",HeroineOfHeroes,Leave_Matoaka
7150,"@_Slyther_Claw_ Uh, this one? This is the only account I've been on.",HeroineOfHeroes,Leave_Matoaka
7151,"@_Slyther_Claw_ Okay, if I'm on.",HeroineOfHeroes,Leave_Matoaka
7152,@_Slyther_Claw_ I don't know why I want to keep making accounts because nobody ever RPs with me.,HeroineOfHeroes,Leave_Matoaka
7153,@_Slyther_Claw_ What are you talking about? I have about 120 accounts.,HeroineOfHeroes,Leave_Matoaka
7154,@_Slyther_Claw_ basketball game is cancelled let us do the show at 7,meadowwehrley,Leave_Matoaka
7155,@_Slyther_Claw_ lol yep,TorturedArtist_,Leave_Matoaka
7156,@_Slyther_Claw_ very,TorturedArtist_,Leave_Matoaka
7157,@_Slyther_Claw_ I have no idea. I'm totally confused on that part,TorturedArtist_,Leave_Matoaka
7158,@_Slyther_Claw_ I did. No mutuals,TorturedArtist_,Leave_Matoaka
7159,@_Slyther_Claw_ BUT I JUST LEFT THE PLACE,flameohotwoman,Leave_Matoaka
7160,@_Slyther_Claw_ yeah I think I do,TorturedArtist_,Leave_Matoaka
7161,@_Slyther_Claw_ apparently it can still see what I'm saying and called me a fattie.,TorturedArtist_,Leave_Matoaka
7162,@_Slyther_Claw_ cuz I felt like saying it. It's annoying when they keep trying.,TorturedArtist_,Leave_Matoaka
7163,@_Slyther_Claw_ Sorry to hear that. Hope you'll feel better again very soon..,sigridevab,Leave_Matoaka
7164,@_Slyther_Claw_ That tooooo! I say that as well.,flameohotwoman,Leave_Matoaka
7165,@_Slyther_Claw_ Are you alright?,sigridevab,Leave_Matoaka
7166,@_Slyther_Claw_ Really.,HeroineOfHeroes,Leave_Matoaka
7167,@_Slyther_Claw_ Well I do.,HeroineOfHeroes,Leave_Matoaka
7168,@_Slyther_Claw_ Well still. I just understand everything.,HeroineOfHeroes,Leave_Matoaka
7169,"@_Slyther_Claw_ That's not because of school, let me tell you that.",HeroineOfHeroes,Leave_Matoaka
7170,@_Slyther_Claw_ What do you mean? XD,HeroineOfHeroes,Leave_Matoaka
7171,"@_Slyther_Claw_ that woman shouldnt wrote that, she could have wrote something good but nooo",__WithNoName,Leave_Matoaka
7172,@_Slyther_Claw_ yeah but it takes like a whole season from when she proposes to him agreeing,LibbyTidley,Leave_Matoaka
7173,"@_Slyther_Claw_ OMG, yeah, you are right haha",__WithNoName,Leave_Matoaka
7174,@_Slyther_Claw_ so it's not bad? tell me is not bad. I already know that he won't marry her cause of a serial killer by,LibbyTidley,Leave_Matoaka
7175,@_Slyther_Claw_ But I only have two years of school left. XD,HeroineOfHeroes,Leave_Matoaka
7176,@_Slyther_Claw_ IM STIL THREE SEASONS AEAU DONT SO THIS,LibbyTidley,Leave_Matoaka
7177,@_Slyther_Claw_ DOES HE LAUGH DOES HE THINK SHES JOKING DOES HENNOT WANT IT,LibbyTidley,Leave_Matoaka
7178,@_Slyther_Claw_ WHY DO YOUSAY THST,LibbyTidley,Leave_Matoaka
7179,@_Slyther_Claw_ whAT,LibbyTidley,Leave_Matoaka
7180,@_Slyther_Claw_ Yeah and it sucks already that we already have to go to June 2nd.,HeroineOfHeroes,Leave_Matoaka
7181,@_Slyther_Claw_ We've only had 3 snow days. We have to make up each one we miss.,HeroineOfHeroes,Leave_Matoaka
7182,@_Slyther_Claw_ Spring Break is our make up days.,HeroineOfHeroes,Leave_Matoaka
7183,@_Slyther_Claw_ Well we're gonna have to make it up. So.,HeroineOfHeroes,Leave_Matoaka
7184,@_Slyther_Claw_ We rarely close. Unless you go to North or South. They're so stupid there.,HeroineOfHeroes,Leave_Matoaka
7185,@_Slyther_Claw_ Im afraid so ;-;,__WithNoName,Leave_Matoaka
7186,"@_Slyther_Claw_ no, Im joking too :P",__WithNoName,Leave_Matoaka
7187,"@_Slyther_Claw_ omg, why?",__WithNoName,Leave_Matoaka
7188,@_Slyther_Claw_ im kidding lol,flameohotwoman,Leave_Matoaka
7189,@_Slyther_Claw_ great great uncle,flameohotwoman,Leave_Matoaka
7190,@_Slyther_Claw_ no problem,OUAT_Fanatics,Leave_Matoaka
7191,@_Slyther_Claw_ March 1st at 8:00.,OUAT_Fanatics,Leave_Matoaka
7192,@_Slyther_Claw_ idk the update came out like 3 weeks ago i think i only noticed like last week tho,DickyyLoL,Leave_Matoaka
7193,@_Slyther_Claw_ No Gotham.,HeroineOfHeroes,Leave_Matoaka
7194,@_Slyther_Claw_ They were a thing but slowly died out : \,DickyyLoL,Leave_Matoaka
7195,@_Slyther_Claw_ *Were,DickyyLoL,Leave_Matoaka
7196,@_Slyther_Claw_ Group dms dead af lol,DickyyLoL,Leave_Matoaka
7197,@_Slyther_Claw_ @DickyyLoL @SifuMustache aww sorry sifu mustache,miranimationFAN,Leave_Matoaka
7198,"@_Slyther_Claw_ Haha, no problem, thank you!",a_ajames,Leave_Matoaka
7199,"@_Slyther_Claw_ Um, I think since you're not on private anymore and you mentioned me, then I can. What book are you up to?",_kassilon,Leave_Matoaka
7200,@_Slyther_Claw_ I'm too tired to read tbh.,HeroineOfHeroes,Leave_Matoaka
7201,@_Slyther_Claw_ You don't need to read to write.,HeroineOfHeroes,Leave_Matoaka
7202,@_Slyther_Claw_ I don't read. I write. Writers write so readers can read.,HeroineOfHeroes,Leave_Matoaka
7203,@_Slyther_Claw_ you are blowing my mind rn,flameohotwoman,Leave_Matoaka
7204,@_Slyther_Claw_ it's... It's 2005,flameohotwoman,Leave_Matoaka
7205,@_Slyther_Claw_ OH CRAP DID I TWEET THAT?,flameohotwoman,Leave_Matoaka
7206,@_Slyther_Claw_ I don't ship many things soo...,HeroineOfHeroes,Leave_Matoaka
7207,@_Slyther_Claw_ send me the link :D,__WithNoName,Leave_Matoaka
7208,"@_Slyther_Claw_ well, Im mexican and there is a legend about the origin of a couple of volcanoes and somehow Jinora made me remember it",__WithNoName,Leave_Matoaka
7209,"@_Slyther_Claw_ yeah, its implied that the military police killed them....
I spoke too soon, right?",__WithNoName,Leave_Matoaka
7210,@_Slyther_Claw_ I had my hair buzzed a long time ago but didn't have the beard....I looked ridiculous. (hindsight and all),SifuMustache,Leave_Matoaka
7211,"@_Slyther_Claw_ ignore it, you understood what I meant",__WithNoName,Leave_Matoaka
7212,@_Slyther_Claw_ @YouTube you just pulled the sting of my natural curiosity,__WithNoName,Leave_Matoaka
7213,"@_Slyther_Claw_ @YouTube somehow reminds me of a fanfic Im reading, it brought a really big smile to my face haha",__WithNoName,Leave_Matoaka
7214,"@_Slyther_Claw_ yeah, Im not pretty sure of the meaning, Historia was remembering her.... My lesbian babies",__WithNoName,Leave_Matoaka
7215,"@_Slyther_Claw_ yeah, its pretty good, for the first time Eren isnt an ass, I enjoyed it, and ended on a huge cliffhanger",__WithNoName,Leave_Matoaka
7216,"@_Slyther_Claw_ Im not sure if Ymir is back, I havent got time to read it cause I have exams next week and stuff, I'll check it anyways",__WithNoName,Leave_Matoaka
7217,@_Slyther_Claw_ don't believe everything thats on the internet,Batroman,Leave_Matoaka
7218,"@_Slyther_Claw_ what did you saw? And btw,WTF? Where did you got that?",__WithNoName,Leave_Matoaka
7219,@_Slyther_Claw_ uuuuhhhhhookay?,Batroman,Leave_Matoaka
7220,@_Slyther_Claw_ I don't like it as much,meadowwehrley,Leave_Matoaka
7221,@_Slyther_Claw_ //I don't need Twitter anymore.,AForgottenDream,Leave_Matoaka
7222,@_Slyther_Claw_ I'm so sorry,flameohotwoman,Leave_Matoaka
7223,@_Slyther_Claw_ it's ok. I respect that. It's pretty hard core actually. Like the dark ages.,flameohotwoman,Leave_Matoaka
7224,@_Slyther_Claw_ OMG HAHA We still have some decommissioned rabbit ears somewhere. I like them because they can double as weapons. (SPARTA),flameohotwoman,Leave_Matoaka
7225,"@_Slyther_Claw_ I dont know, is something is always messing with since I learned English, and he solved it in 1 minute",__WithNoName,Leave_Matoaka
7226,@_Slyther_Claw_ THEN WE CAN ALL BE HAPPY!!,TorturedArtist_,Leave_Matoaka
7227,@_Slyther_Claw_ I'LL CONE WITH HIM THEN,TorturedArtist_,Leave_Matoaka
7228,@_Slyther_Claw_ I'LL HAVE MARKOS GO AND GET YOU AND WE CAN GET A HUGE FARM AND BUILD MANY HOUSES,TorturedArtist_,Leave_Matoaka
7229,@_Slyther_Claw_ LOL If I could I would. He actually wants to move here.,TorturedArtist_,Leave_Matoaka
7230,@_Slyther_Claw_ most likely 😂,Lily_Ballenger,Leave_Matoaka
7231,@_Slyther_Claw_  I spend a lot of time on tumblr anyway,Atkar_Rew,Leave_Matoaka
7232,@_Slyther_Claw_ I'm proper recording it soon so it's put on back hold until I get the actual audio sorte d,LibbyTidley,Leave_Matoaka
7233,@_Slyther_Claw_ //.....*EPIC FACEPALM*,VarrickLoK,Leave_Matoaka
7234,@_Slyther_Claw_ //.......MY BROTHER EVEN HAS A TWITTER. WHAT DO YOU TAKE ME FOR??? I AM HONEST!!!,VarrickLoK,Leave_Matoaka
7235,@_Slyther_Claw_ //YES. I HAVE A SISTER THAT ALSO HAS HER BIRTHDAY TODAY.,VarrickLoK,Leave_Matoaka
7236,@_Slyther_Claw_ Im running out of gifs and images :/,__WithNoName,Leave_Matoaka
7237,@_Slyther_Claw_ sure ^-^,__WithNoName,Leave_Matoaka
7238,@_Slyther_Claw_ //Oh. Alrighty then!! :D,AForgottenDream,Leave_Matoaka
7239,"@_Slyther_Claw_ //Account handle? What? You don't have to continue right now, I can wait.",AForgottenDream,Leave_Matoaka
7240,"@_Slyther_Claw_ I just wanna see the world burn, and then dance with joy over the ashes",__WithNoName,Leave_Matoaka
7241,"@_Slyther_Claw_ //Lolol true. So wait, you want me to still DM you on the account that I have been DMing you?",AForgottenDream,Leave_Matoaka
7242,@_Slyther_Claw_ //DON'T LET MY E-FRIENDS HERE SEE THAT I KNOW YOU LOLOL. &gt;.&gt; I'm kidding.,AForgottenDream,Leave_Matoaka
7243,"@_Slyther_Claw_ NOOOOO, I know that if I join is a dead end, and I already have a really bad obsession with twitter",__WithNoName,Leave_Matoaka
7244,@_Slyther_Claw_ sounds interesting...,__WithNoName,Leave_Matoaka
7245,@_Slyther_Claw_ it makes it even funnier,__WithNoName,Leave_Matoaka
7246,@_Slyther_Claw_ I do like the snarky.,SifuMustache,Leave_Matoaka
7247,@_Slyther_Claw_ then I've just been able to accept my experiences and share them. ;),SifuMustache,Leave_Matoaka
7248,@_Slyther_Claw_ mmmm....cause I'm old?  idk.  HA!  :D,SifuMustache,Leave_Matoaka
7249,@_Slyther_Claw_ Hehe i know! I guess we have that in common with Iroh!,sigridevab,Leave_Matoaka
7250,@_Slyther_Claw_ No thanks i'll pass.,sigridevab,Leave_Matoaka
7251,@_Slyther_Claw_ //I'll DM you about them then.,VarrickLoK,Leave_Matoaka
7252,@_Slyther_Claw_ //So wait...You want my current accounts?,VarrickLoK,Leave_Matoaka
7253,@_Slyther_Claw_ //So I'm not your friend now just because I haven't seen your tweets on my TL?,VarrickLoK,Leave_Matoaka
7254,"@_Slyther_Claw_ //How so? Because I haven't been on this account? Tell me, how have I wronged you?",VarrickLoK,Leave_Matoaka
7255,@_Slyther_Claw_ //I understand...Just as my own personality and experience it hurts me to know that a friend is cutting me off from them.--,VarrickLoK,Leave_Matoaka
7256,@_Slyther_Claw_ //Picking out certain people to not be your friends kinda is.,VarrickLoK,Leave_Matoaka
7257,@_Slyther_Claw_ //*Facepalm* What's the point of being on Twitter when you're so strict?,VarrickLoK,Leave_Matoaka
7258,@_Slyther_Claw_ //Accept things how they are. Everything happens for a reason. Just believe that. You aren't alone.,VarrickLoK,Leave_Matoaka
7259,@_Slyther_Claw_ //Please...I want to keep you as my friend. I don't want you to ruin friendships because of small or silly things.,VarrickLoK,Leave_Matoaka
7260,@_Slyther_Claw_ //I CAN TALK TO YOU WHENEVER IF YOU KNOW WHAT ACCOUNTS I AM ON. I WANNA TALK TO YOU. YOU ISH MY FRIEND.,VarrickLoK,Leave_Matoaka
7261,@_Slyther_Claw_ //How do you know if someone needs your help if you can't see them? You can't expect us to know if you need help. Like I--,VarrickLoK,Leave_Matoaka
7262,@_Slyther_Claw_ //Tell me when in the past months have you actually TRIED to talk to me. Because I get all notifications and none have said-,VarrickLoK,Leave_Matoaka
7263,@_Slyther_Claw_ //You want my personal? I've give it to you. I'll give all my @'s to you. I swear I'll always be here for you. Just bc I'm--,VarrickLoK,Leave_Matoaka
7264,@_Slyther_Claw_ //Why not leave Twitter? Don't stay if you don't feel welcomed. I've known you for a long time there's no reason to forget--,VarrickLoK,Leave_Matoaka
7265,"@_Slyther_Claw_ //But I'm not fake. You don't understand people. Stop trying to. I may not be like the other people, but I'm different.",VarrickLoK,Leave_Matoaka
7266,@_Slyther_Claw_ //Why? Because you're confused? Because I'm not here anymore?,VarrickLoK,Leave_Matoaka
7267,"@_Slyther_Claw_ //You're my chickadee, remember that. I won't stop fighting for you.",VarrickLoK,Leave_Matoaka
7268,@_Slyther_Claw_ //Hey you.,VarrickLoK,Leave_Matoaka
7269,@_Slyther_Claw_ doesn't stop them from bring people back,Batroman,Leave_Matoaka
7270,@_Slyther_Claw_ Heroes don't die,Batroman,Leave_Matoaka
7271,"@_Slyther_Claw_ I watched it all sudden in FB this morning, I'll try to search it anyway",__WithNoName,Leave_Matoaka
7272,"@_Slyther_Claw_ Nope is just the trailer, the OVA comes in april, but Levi smiling made everyone lose their shits",__WithNoName,Leave_Matoaka
7273,@_Slyther_Claw_ how is that possible?,__WithNoName,Leave_Matoaka
7274,@_Slyther_Claw_ read through the hashtag....,SifuMustache,Leave_Matoaka
7275,"@_Slyther_Claw_ oh, how so?",_kassilon,Leave_Matoaka
7276,@_Slyther_Claw_ is it different in america?,_kassilon,Leave_Matoaka
7277,"@_Slyther_Claw_ 25% comes from timed essays which we prepare for a few weeks before, and 75% from the final exam",_kassilon,Leave_Matoaka
7278,"@_Slyther_Claw_ oh we do, it's just that this is like 10% of our final grade, so we're studying hard for it",_kassilon,Leave_Matoaka
7279,@_Slyther_Claw_ Like the mark scheme wasn't saying what to put in each paragraph etc (we're preparing for a timed essay at the moment),_kassilon,Leave_Matoaka
7280,"@_Slyther_Claw_ oh yeah, she seemed concerned that the test had less of a ""structure"" so that's probably another difference too",_kassilon,Leave_Matoaka
7281,"@_Slyther_Claw_ like taking notes from sources, most other teachers set stuff to apply our knowledge, it's hard to explain lol.",_kassilon,Leave_Matoaka
7282,"@_Slyther_Claw_ Hmm, well she sets a lot more reading/studying homeworks than actual questions, but moslty, she is a lot louder lol",_kassilon,Leave_Matoaka
7283,"@_Slyther_Claw_ yeah, we actually have a new history teacher from america and she does a lot of things differently than the other teachers",_kassilon,Leave_Matoaka
7284,"@_Slyther_Claw_ some make you stay after the lesson to do it, but they can't record it as an official detention",_kassilon,Leave_Matoaka
7285,"@_Slyther_Claw_ well its more school policy rather than an individual teacher, some can be stricter (a lot of mine aren't thankfully)",_kassilon,Leave_Matoaka
7286,"@_Slyther_Claw_ yeah, the teacher always gives you at least until the next day to re-do it at my school (unless its a project lol)",_kassilon,Leave_Matoaka
7287,"@_Slyther_Claw_ yeah, me neither, thinking about it, but it was a dream so that's probably why lol",_kassilon,Leave_Matoaka
7288,"@_Slyther_Claw_ nothing, i just dont want to do it as a career, and also i got a detention in my dream cause i didnt do the homework",_kassilon,Leave_Matoaka
7289,@_Slyther_Claw_ and they don't exist to me since they're on tumblr and I don't exist to them because I'm not on tumblr,Batroman,Leave_Matoaka
7290,@_Slyther_Claw_ AFC - (American Football Conference) + NFC (National football conference) = NFL (National Football League),SifuMustache,Leave_Matoaka
7291,@_Slyther_Claw_ NFL is broken into conferences then divisions.  division leaders play each other in a playoff to determine conference champ,SifuMustache,Leave_Matoaka
7292,@_Slyther_Claw_ NFC (conference) champs play the AFC (conference) champs in the NFL league finals (superbowl).,SifuMustache,Leave_Matoaka
7293,@_Slyther_Claw_ tumblr doesn't exist to me and I don't exist to tumblr,Batroman,Leave_Matoaka
7294,@_Slyther_Claw_ that's the super bowl. ;),SifuMustache,Leave_Matoaka
7295,"@_Slyther_Claw_ I understand, the first time I got a piercing I fainted before the girl even touched me",__WithNoName,Leave_Matoaka
7296,@_Slyther_Claw_ my best friend's (who died) birthday is today...it didn't sink in until I approved an invoice and signed it with the date.,SifuMustache,Leave_Matoaka
7297,@_Slyther_Claw_ Well done!!! :),_kassilon,Leave_Matoaka
7298,"@_Slyther_Claw_ yeah, someone in tumblr just the lines,I would link you if I wasnt in my phone",__WithNoName,Leave_Matoaka
7299,"@_Slyther_Claw_ not exactly, I have read a translation of the lines and is, by far, the best chapter of the manga",__WithNoName,Leave_Matoaka
7300,@_Slyther_Claw_ I'll take my own corner then,__WithNoName,Leave_Matoaka
7301,@_Slyther_Claw_ As long as Makorra is canon im happy *cries in emo corner*,__WithNoName,Leave_Matoaka
7302,@_Slyther_Claw_ *sigh* my ship died too,__WithNoName,Leave_Matoaka
7303,"@_Slyther_Claw_ so, your ship died since book two :v",__WithNoName,Leave_Matoaka
7304,@_Slyther_Claw_ what was your ship anyways?,__WithNoName,Leave_Matoaka
7305,"@_Slyther_Claw_ thats why Im here, to stay neutral",__WithNoName,Leave_Matoaka
7306,"@_Slyther_Claw_ yeah, like a relationship that started as a rivality and finished in best friendship",__WithNoName,Leave_Matoaka
7307,"@_Slyther_Claw_ yeah, Im seeing Korra and Asami's relationship like Aang and Zuko's, Im trying to forget about it",__WithNoName,Leave_Matoaka
7308,"@_Slyther_Claw_ a little of both, I really wanted Makorra to be endgame",__WithNoName,Leave_Matoaka
7309,@_Slyther_Claw_ eight words: I do not want to talk about it,__WithNoName,Leave_Matoaka
7310,@_Slyther_Claw_ I'm tired of all the Korrasami shippers saying its cannon,KorralovesMako,Leave_Matoaka
7311,@_Slyther_Claw_ agreed! It's not cannon but all the Korrasami shippers think it is! I ship makorra,KorralovesMako,Leave_Matoaka
7312,"@_Slyther_Claw_ how I see it there was no kiss, no relationship",KorralovesMako,Leave_Matoaka
7313,@_Slyther_Claw_ mhm agreed. Thank goodness I haven't ran into too many of those shits.,flameohotwoman,Leave_Matoaka
7314,@_Slyther_Claw_ because it is not,flameohotwoman,Leave_Matoaka
